Weight (g),Denomination,Year,Material,Obverse,Reverse,Place of Production,Minting Authority,Reference,Collection
5.06,Didrachm,-370,Silver,nymph Sinope head l.,"eagle on dolphin|in field right, DIO",Sinope,,RGA.20,Historisches Museum Basel
3.85,Denarius,-43,Silver,"PETILLIVS CAPITOLINVS; Eagle on thunderbolt, right. Border of dots.","Hexastyle temple (Capitoline temple); roof is decorated with biga at each side and quadriga at apex; on either side of apex, armed figure; within pediment, uncertain figure; between central four columns, hanging decorations. Border of dots.",Rome,Petilius Capitolinus,RRC 487/2a,Historisches Museum Basel
0.58,Obol,-465,Silver,eagle stg. l.,gorgoneion within incuse square,Abydus,,SNGBYB.978,Historisches Museum Basel
17.21,Tetradrachm,-502.5,Silver,Eagle standing,Crab,Agrigentum,,0.975,Historisches Museum Basel
3.45,Denarius,165,Silver,ANT AVG round edge above| III VIR R P C. - Galley with four oarsmen and sweeps of oars going left over the waves.,"LEG XVIII left and right, below standards and eagle. - Legionary eagle, turned right, behind standards.",Rome,Marcus Aurelius,BMC.500,Museum Luzern
17.05,Tetradrachm,-329.5,Silver,Beardless head of Heracles r. wearing lion skin headdress,"ΑΛΕΞΑΝΔΡΟΥ : Zeus seated on stool-throne l., holding eagle on outstretched right hand and sceptre in left",,Alexander III of Macedon,Price 3426,Museum Luzern
5.66,B (double),-116.5,Bronze,Diademed & radiate head of Antiochus r.,"ΒΑΣΙΛΕΩΣ ΑΝΤΙΟΧΟΥ ΕΠΙΦΑΝΟΥΣ : Eagle stdg. l., sceptre behind r. shoulder",Antioch,Antiochus VIII Grypus,CSE.323,Museum Luzern
2.71,Denarius,169,Silver,DIVVS VERVS - head of Lucius Verus right,"CONSECRATIO - eagle standing, front, head left",Rome,Marcus Aurelius,BMC.503,Museum Luzern
13.59,Shekel,-20.5,Silver,"laureate head of Heracles (Melqart) with lion skin knotted about neck, right","ΤΥΡΟΥ ΙΕΡΑΣ ΚΑΙ ΑΣΥΛΟΥ, ΡϚ; eagle standing, left, on prow of galley, and with palm on wing; to left, club; date in Greek numbers, with monogram or Greek letters; below eagle, Phoenician letter",Tyre,Augustus,"Qumrân 92, 95–6, 99",Bode-Museum
19.96,Tetartemorion,-399,Bronze,Gorgoneeion,OLBI - Eagle on dolphin l.,Olbia,,Kar.PODU.7.1959.gr.3.p.67,Bode-Museum
17.86,Pentadrachm,-271.5,Gold,Diademed head of Ptolemy I r. with aegis; dotted border,ΠΤΟΛΕΜΑΙΟΥ ΒΑΣΙΛΕΩΣ : Eagle l. on fulmen; dotted border,Tyre,Ptolemy II Philadelphus,"Coins of the Ptolemaic Empire Vol. I, Part 1, no. 555, Sv.636",Bode-Museum
17.43,Tetradrachm,-410.5,Silver,Two eagles standing on hare,"Crab, Skylla below",Akragas,,"Hess-Leu 36, 1968, 55",Bode-Museum
3.38,Antoninianus,284,Silver,DIVO NIGRINIANO: Head radiate right,"CONSECRATIO: eagle standing facing, head left",Rome,Carinus,RIC V Carus 472,Bode-Museum
11.06,Stater,-425,Silver,bull stg. l.,eagle in flight l. within incuse square,Paphos,Aristo- of Paphos,"BMCCyprus Paphos.40, note 1 (this)",Neues Museum
10.12,40 Nummi,528,Bronze,IMVICTA ROMA: Bust helmeted dr. r.,XL: Eagle l. head r.,Rome,Theodoric the Great,"BMCV.103.15, H.74a",Neues Museum
18.77,Sestertius,169,Bronze,DIVVS VERVS: Head right,"CONSECRATIO/ S C: Eagle standing, front, head left, on starred globe",Rome,Marcus Aurelius,"BMC.1359, RIC III Marcus Aurelius 1509",Dresden Muenzkabinett
2.67,Drachma,-367.5,Silver,Apollo hd. r.,eagle stg. r.,Abydus,,Audit 6-7/99,Staatliche Muenzsammlung Muenchen
16.99,Tetradrachm,-455,Silver,Eagle standing,Crab,Akragas,,"Miller, H; October 1916.",Staatliche Muenzsammlung Muenchen
12.32,Stater,-442,Silver,eagle flying r.,fulmen,Olympia,,SNGBYB.819,Staatliche Muenzsammlung Muenchen
14.11,Tetradrachm,127.5,Silver,"AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SE : Bust laureate, draped, cuirassed, r.","DEMARCH EX VPAT B : Eagle standing, r. head l. on leg and thigh",Antioch,Hadrian,"PrieurST.156, RPC III, 3688, cf. BMC.304ff.",Staatliche Muenzsammlung Muenchen
14.26,Tetradrachm,-270,Silver,"Diademed head of Ptolemy I r., with aegis; dotted border",ΠΤΟΛΕΜΑΙΟΥ ΒΑΣΙΛΕΩΣ : Eagle on fulmen l.; dotted border,Alexandria,Ptolemy II Philadelphus,"Coins of the Ptolemaic Empire Vol. I, Part 1, no. 235, Sv.368",Staatliche Muenzsammlung Muenchen
7.47,Stater,-336,Silver,Zeus head,eagle stg. holding hare,Locri Epizephyrii,,SNGANS.3.523,Staatliche Muenzsammlung Muenchen
,,,,,,,,,
