"URI","Title","RecordId","Coin Type URI","From Date","To Date","Authority","Stated Authority","Issuer","State","Dynasty","Deity","Portrait","Denomination","Department","Object Type","Artist","Engraver","Maker","Signature","Manufacture","Material","Shape","Place of Production","Place of Issue","Place of Cataloging Relevance","Region","Coin Type","Hoard","Findspot","Excavation","Reference","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Date on Object","Hijra","Axis","Diameter (in mm)","Weight (in g)","Thumbnail_obv","Thumbnail_rev","Date Record Modified"
"http://numismatics.org/collection/1989.99.328","Gold 5 mark of Louis II, Munich, 1877. 1989.99.328","1989.99.328","","1864","1886","","","","","","","","","Modern","Coin","","","","","","Gold","","","","","","","","","","Beierlein.3022||Friedberg.Germany.3767","L1|Bavaria/d9a04054-63ea-3502-b368-8ca17a209c9e||d9a04054-63ea-3502-b368-8ca17a209c9e|Wittelsbach/349fbafb-f733-3bb5-a8a1-338a6bbc20fb","","","","","","","LUDWIG II KOENIG V. BAYERN","Head right","DEUTSCHES REICH","Crowned eagle with arms on breast","","","12","17.0","1.97","","","2025-04-12T12:26:56Z"
"http://numismatics.org/collection/1990.3.12","Silver 3 mark of Otto, Munich, 1911. 1990.3.12","1990.3.12","","1864","1886","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.468||Jaeger.49","L1|Bavaria/d9a04054-63ea-3502-b368-8ca17a209c9e||d9a04054-63ea-3502-b368-8ca17a209c9e|Wittelsbach/349fbafb-f733-3bb5-a8a1-338a6bbc20fb","","","","","","","LVITPOLD PRINZ. REGENT V. BAYERN","Head right","DEUTSCHES REICH","Crowned eagle with arms on breast","","","12","33.0","16.65","","","2025-04-12T12:27:15Z"
"http://numismatics.org/collection/1990.3.13","Silver 2 mark of Otto, Munich, 1911. 1990.3.13","1990.3.13","","1864","1886","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Jaeger.48","L1|Bavaria/d9a04054-63ea-3502-b368-8ca17a209c9e||d9a04054-63ea-3502-b368-8ca17a209c9e|Wittelsbach/349fbafb-f733-3bb5-a8a1-338a6bbc20fb","","","","","","","LVITPOLD PRINZ. REGENT V. BAYERN","Head right","DEUTSCHES REICH","Crowned eagle with arms on breast","","","12","28.0","11.09","","","2025-04-12T12:27:16Z"
"http://numismatics.org/collection/1990.36.1","Copper Alloy 5 aurar, Llantrisant, 1981. 1990.36.1","1990.36.1","","1981","1981","","","","","","","","","Modern","Coin","","","","","","Copper Alloy","","","","","","","","","","KM.24","L1|Iceland/2e10895e-ee07-3f45-81aa-aeef22882033||2e10895e-ee07-3f45-81aa-aeef22882033|Independent/bdb4c549-6785-30d1-9e9d-64460505c695","","","","","","","FIMM AURAR ISLAND 1981","head and right wing of eagle","5","skate","","","","14.0","","","","2025-04-12T12:27:44Z"
"http://numismatics.org/collection/1990.72.2","Silver 20 kreuzer of Mary Theresa, Graz, 1765. 1990.72.2","1990.72.2","","1765","1765","","","","","","","","","Modern","Coin","","","","","","Silver","Rectangular","","","","","","","","","KM.Austria.539","L1|Austria/3877b8aa-053f-33e8-8292-cd8751a4c525||3877b8aa-053f-33e8-8292-cd8751a4c525|Empire/569ce2de-f062-3541-87c3-d3ea41cf8fff||569ce2de-f062-3541-87c3-d3ea41cf8fff|Habsburg/94f26f7c-fc7e-3e2f-9d17-d060f857d0a4","","","","","","","M.THERESIA.D.GR.IMP.GER.HU.BO REG.","bust left","ARCHID AUSTR DUX BURG.&.STYR.1765.X","Double headed eagle of Austria","","","","29.0","6.655","https://numismatics.org/collectionimages/19501999/1990/1990.72.2.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1990/1990.72.2.rev.width175.jpg","2025-04-12T12:28:30Z"
"http://numismatics.org/collection/1990.72.4","Tin 3 kreuzer of Maria Theresa, Prague, 1754. 1990.72.4","1990.72.4","","1757","1757","","","","","","","","","Modern","Coin","","","","","","Tin","Rectangular","","","","","","","","","","L1|Austria/3877b8aa-053f-33e8-8292-cd8751a4c525||3877b8aa-053f-33e8-8292-cd8751a4c525|Habsburg/cab24ab2-95ca-3907-b85a-12a37fcfe3d5","","","","","","","M.THERESIA.DG.R.I.GER.HU.BO.REG.","Bust of Maria Theresia facing l.","ARCH.AUST.DUX.BUSI.M.MO.1754.X","The Imperial double headed eagle, bearing a small shield with the Boh. lion","","","","21.0","2.226","","","2025-04-12T12:28:32Z"
"http://numismatics.org/collection/1990.74.116","Aluminum 50 banu of Ferdinand I, Birmingham, 1921. 1990.74.116","1990.74.116","","1914","1927","","","","","","","","","Modern","Coin","","","","","","Aluminum","","","","","","","","","","KM.45","L1|Hohenzollern/25c97b5b-794f-34b5-8f7a-b46d5ab4c496","","","","","","","ROMANIA 1921","eagle","50 BANI","Crown","","","","21.0","1.195","","","2025-04-12T12:28:52Z"
"http://numismatics.org/collection/1990.74.120","Nickel 20 grosz, Poland, 1923. 1990.74.120","1990.74.120","","1918","1939","","","","","","","","","Modern","Coin","","","","","","Nickel","","","","","","","","","","KM.Poland.12","L1|First Republic/d568f152-c7fa-3478-aa77-4dace9ab7f5e","","","","","","","RZECZPOSPOLITA POLSKA","eagle","20 GROSZY","wreath","","","","20.0","3.025","","","2025-04-12T12:28:57Z"
"http://numismatics.org/collection/1990.74.121","Nickel 10 grosz, Poland, 1923. 1990.74.121","1990.74.121","","1918","1939","","","","","","","","","Modern","Coin","","","","","","Nickel","","","","","","","","","","KM.Poland.11","L1|First Republic/d568f152-c7fa-3478-aa77-4dace9ab7f5e","","","","","","","RZECZPOSPOLITA POLSKA 1923","eagle","10 GROSZY","wreath","","","","18.0","2.05","","","2025-04-12T12:28:58Z"
"http://numismatics.org/collection/1990.74.122","Nickel 50 grosz, Poland, 1923. 1990.74.122","1990.74.122","","1918","1939","","","","","","","","","Modern","Coin","","","","","","Nickel","","","","","","","","","","KM.Poland.13","L1|First Republic/d568f152-c7fa-3478-aa77-4dace9ab7f5e","","","","","","","RZECZPOSPOLITA POLSKA 1923","eagle","50 GROSZY","wreath","","","","23.0","5.019","","","2025-04-12T12:28:59Z"
