"URI","Title","RecordId","Coin Type URI","From Date","To Date","Authority","Stated Authority","Issuer","State","Dynasty","Deity","Portrait","Denomination","Department","Object Type","Artist","Engraver","Maker","Signature","Manufacture","Material","Shape","Place of Production","Place of Issue","Place of Cataloging Relevance","Region","Coin Type","Hoard","Findspot","Excavation","Reference","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Date on Object","Hijra","Axis","Diameter (in mm)","Weight (in g)","Thumbnail_obv","Thumbnail_rev","Date Record Modified"
"http://numismatics.org/collection/1989.91.2","Paper 100 franc of Jean, Luxembourg grand duchy, 1980–1989. 1989.91.2","1989.91.2","","1980","1989","","","","","","","","","Modern","Paper Money","","","","","","Paper","","","","","","","","","","Pick.Luxemburg.57","","","","","","","","INSTITUT MONETAIRE LUXEMBOURGEOIS|GRAND-DUCHE DE LUXEMBOURG|CENT FRANCS","","HONNERT FRANG|LETZEBUERG","city scene","","","","","","","","2025-04-12T12:26:44Z"
"http://numismatics.org/collection/1989.99.132","Copper Alloy 1/2 penny of George I, Ireland, 1722. 1989.99.132","1989.99.132","","1714","1727","","","","","","","","","Modern","Coin","","","","","Uncertain","Copper Alloy","","","","","","","","","","Breen.144fake||Nelson.3","L1|England/723cf929-2201-3366-94da-cb6726696219||723cf929-2201-3366-94da-cb6726696219|Hanover/ca5c95c7-4d17-3d72-86f9-505b23c6094e","","","","","Forgery","","GEORGIUS.DEI . GRATIA.REX.","head laur., r.",".HIBERNIA.1722.","woman sitting, playing harp l.","","","","26.0","8.79","https://numismatics.org/collectionimages/19501999/1989/1989.99.132.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1989/1989.99.132.rev.width175.jpg","2025-04-12T12:26:45Z"
"http://numismatics.org/collection/1989.99.133","Copper Alloy 1/2 penny of George I, Ireland, 1723. 1989.99.133","1989.99.133","","1714","1727","","","","","","","","","Modern","Coin","","","","","Uncertain","Copper Alloy","","","","","","","","","","Breen.152fake||cf.Nelson.5","L1|England/723cf929-2201-3366-94da-cb6726696219||723cf929-2201-3366-94da-cb6726696219|Hanover/ca5c95c7-4d17-3d72-86f9-505b23c6094e","","","","","Forgery","","GEORGIUS.DEI . GRATIA.REX.","head laur., r.",".HIBERNIA.1723.","woman sitting, playing harp l.","","","","27.0","7.75","https://numismatics.org/collectionimages/19501999/1989/1989.99.133.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1989/1989.99.133.rev.width175.jpg","2025-04-12T12:26:46Z"
"http://numismatics.org/collection/1989.99.134","Copper Alloy 1/2 penny of George I, Ireland, 1724. 1989.99.134","1989.99.134","","1714","1727","","","","","","","","","Modern","Coin","","","","","Uncertain","Copper Alloy","","","","","","","","","","Breen.166fake||Nelson.11","L1|England/723cf929-2201-3366-94da-cb6726696219||723cf929-2201-3366-94da-cb6726696219|Hanover/ca5c95c7-4d17-3d72-86f9-505b23c6094e","","","","","Forgery","","GEORGIUS.DEI . GRATIA.REX.","head laur., r.",".HIBERNIA.1724.","woman sitting, playing harp l.","","","","27.0","6.96","https://numismatics.org/collectionimages/19501999/1989/1989.99.134.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1989/1989.99.134.rev.width175.jpg","2025-04-12T12:26:48Z"
"http://numismatics.org/collection/1989.99.135","Copper Alloy farthing of George I, Ireland, 1723. 1989.99.135","1989.99.135","","1714","1727","","","","","","","","","Modern","Coin","","","","","Uncertain","Copper Alloy","","","","","","","","","","Breen.170fake||cf.Nelson.7","L1|England/723cf929-2201-3366-94da-cb6726696219||723cf929-2201-3366-94da-cb6726696219|Hanover/ca5c95c7-4d17-3d72-86f9-505b23c6094e","","","","","Forgery","","GEORGIUS.DEI . GRATIA.REX.","head laur., r.",".HIBERNIA.1723.","woman sitting, w. harp to r.","","","","22.0","5.36","https://numismatics.org/collectionimages/19501999/1989/1989.99.135.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1989/1989.99.135.rev.width175.jpg","2025-04-12T12:26:49Z"
"http://numismatics.org/collection/1989.99.136","Copper Alloy farthing of George I, Ireland, 1724. 1989.99.136","1989.99.136","","1714","1727","","","","","","","","","Modern","Coin","","","","","Uncertain","Copper Alloy","","","","","","","","","","Breen.175fake||Nelson.10","L1|England/723cf929-2201-3366-94da-cb6726696219||723cf929-2201-3366-94da-cb6726696219|Hanover/ca5c95c7-4d17-3d72-86f9-505b23c6094e","","","","","Forgery","","GEORGIUS.DEI . GRATIA.REX.","head laur., r.",".HIBERNIA.1724.","woman sitting, w. harp to r.","","","","21.0","4.71","https://numismatics.org/collectionimages/19501999/1989/1989.99.136.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1989/1989.99.136.rev.width175.jpg","2025-04-12T12:26:50Z"
"http://numismatics.org/collection/1989.99.172","Copper 1/2 penny of Charles II, London, 1694–1696. 1989.99.172","1989.99.172","","1694","1696","","","","","","","","","Modern","Coin","","","","","","Copper","","","","","","","","","","Breen.185.fake","L1|Great Britain/eabb3714-d8d0-3ea4-ab37-53ceb11b9745||eabb3714-d8d0-3ea4-ab37-53ceb11b9745|England/e3fa5f36-95db-33cd-8f7f-017cddd9de05||e3fa5f36-95db-33cd-8f7f-017cddd9de05|Hanover/e4c98073-0853-33a2-928b-acfc346f300a||e4c98073-0853-33a2-928b-acfc346f300a|Tokens/f58c2fb8-1b9a-3c7a-b7b1-f2cd0ddcd01e","","","","","Forgery","","","elephant stg. l.","GOD PRESERVE LONDON","arms","","","","27.0","8.92","","","2025-04-12T12:26:52Z"
"http://numismatics.org/collection/1989.99.180","Copper Alloy 1/2 penny of George III, Ireland, ""1700"". 1989.99.180","1989.99.180","","1760","1760","","","","","","","","","Modern","Coin","","","","","","Copper Alloy","","","","","","","","","","","","","","","","Forgery","","VOCE POPULI","head, laur. r.","HIBERNIA 1700","woman sitting, l., harp to r.","","","","26.0","7.97","","","2025-04-12T12:26:53Z"
"http://numismatics.org/collection/1989.99.181","Copper Alloy farthing of George III, Ireland, 1760. 1989.99.181","1989.99.181","","1760","1820","","","","","","","","","Modern","Coin","","","","","","Copper Alloy","","","","","","","","","","","","","","","","Forgery","","VOCE POPULI","head, laur. r.","HIBERNIA 1760","woman sitting, l., harp to r.","","","","21.0","4.09","","","2025-04-12T12:26:54Z"
"http://numismatics.org/collection/1989.99.327","Silver 20 franc, France, 1887. 1989.99.327","1989.99.327","","1870","1940","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Friedberg.592||GadMF.1063","L1|France/2d733a9f-376d-3ca9-8212-8ed30aa81879||2d733a9f-376d-3ca9-8212-8ed30aa81879|Third Republic/4cab4628-a9f0-36e2-b659-f2ccf5411e1d","","","","","Replica","","REPUBLIQUE FRANCAISE","","LIBERTE EGALITE FRATERNITE, 20 FRANCS 1887","value and date within wreath","","","","20.0","2.374","","","2025-04-12T12:26:55Z"
